-0659-01-01	神武
1099-08-28	康和
1104-02-10	長治
1106-04-09	嘉承
1108-08-03	天仁
1110-07-13	天永
1113-07-13	永久
1118-04-03	元永
1120-04-10	保安
1124-04-03	天治
1126-01-22	大治
1131-01-29	天承
1132-08-11	長承
1135-04-27	保延
1141-07-10	永治
1142-04-28	康治
1144-02-23	天養
1145-07-22	久安
1151-01-26	仁平
1154-10-28	久寿
1156-04-27	保元
1159-04-20	平治
1160-01-10	永暦
1161-09-04	応保
1163-03-29	長寛
1165-06-05	永万
1166-08-27	仁安
1169-04-08	嘉応
1171-04-21	承安
1175-07-28	安元
1177-08-04	治承
1181-07-14	養和
1182-05-27	寿永
1184-04-16	元暦
1185-08-14	文治
1190-04-11	建久
1199-04-27	正治
1201-02-13	建仁
1204-02-20	元久
1206-04-27	建永
1207-10-25	承元
1211-03-09	建暦
1213-12-06	建保
1219-04-12	承久
1222-04-13	貞応
1224-11-20	元仁
1225-04-20	嘉禄
1227-12-10	安貞
1229-03-05	寛喜
1232-04-02	貞永
1233-04-15	天福
1234-11-05	文暦
1235-09-19	嘉禎
1238-11-23	暦仁
1239-02-07	延応
1240-07-16	仁治
1243-02-26	寛元
1247-02-28	宝治
1249-03-18	建長
1256-10-05	康元
1257-03-14	正嘉
1259-03-26	正元
1260-04-13	文応
1261-02-20	弘長
1264-02-28	文永
1275-04-25	建治
1278-02-29	弘安
1288-04-28	正応
1293-08-05	永仁
1299-04-25	正安
1302-11-21	乾元
1303-08-05	嘉元
1306-12-14	徳治
1308-10-09	延慶
1311-04-28	応長
1312-03-20	正和
1317-02-03	文保
1319-04-28	元応
1321-02-23	元亨
1324-12-09	正中
1326-04-26	嘉暦
1329-08-29	元徳
1331-08-09	元弘
1332-04-28	正慶
1333-05-25	(元弘)
1334-01-29	建武
1336-02-29	延元
1338-08-28	暦応
1340-04-28	興国
1342-04-27	康永
1345-10-21	貞和
1346-12-08	正平
1350-02-27	観応
1352-09-27	文和
1356-03-28	延文
1361-03-29	康安
1362-09-23	貞治
1368-02-18	応安
1370-07-24	建徳
1372-04-01	文中
1375-02-27	永和
1375-05-27	天授
1379-03-22	康暦
1381-02-10	弘和
1381-02-24	永徳
1384-02-27	至徳
1384-04-28	元中
1387-08-23	嘉慶
1389-02-09	康応
1390-03-26	明徳
1392-10'-05	(明徳)
1394-07-05	応永
1428-04-27	正長
1429-09-05	永享
1441-02-17	嘉吉
1444-02-05	文安
1449-07-28	宝徳
1452-07-25	享徳
1455-07-25	康正
1457-09-28	長禄
1460-12-21	寛正
1466-02-28	文正
1467-03-05	応仁
1469-04-28	文明
1487-07-20	長享
1489-08-21	延徳
1492-07-19	明応
1501-02-29	文亀
1504-02-30	永正
1521-08-23	大永
1528-08-20	享禄
1532-07-29	天文
1555-10-23	弘治
1558-02-28	永禄
1570-04-23	元亀
1573-07-28	天正
1592-12-08	文禄
1596-10-27	慶長
1615-07-13	元和
1624-02-30	寛永
1644-12-16	正保
1648-02-15	慶安
1652-09-18	承応
1655-04-13	明暦
1658-07-23	万治
1661-04-25	寛文
1673-09-21	延宝
1681-09-29	天和
1684-02-21	貞享
1688-09-30	元禄
1704-03-13	宝永
1711-04-25	正徳
1716-06-22	享保
1736-04-28	元文
1741-02-27	寛保
1744-02-21	延享
1748-07-12	寛延
1751-10-27	宝暦
1764-06-02	明和
1772-11-16	安永
1781-04-02	天明
1789-01-25	寛政
1801-02-05	享和
1804-02-11	文化
1818-04-22	文政
1830-12-10	天保
1844-12-02	弘化
1848-02-28	嘉永
1854-11-27	安政
1860-03-18	万延
1861-02-19	文久
1864-02-20	元治
1865-04-07	慶応
1868-09-08	明治
1912-07-30	大正
1926-12-25	昭和
1989-01-08	平成
2019-05-01	令和
